annee;departement;population_20_59
2022;Isère;647814
2022;Jura;120411
2022;La Réunion;448753
2022;Landes;197512
2022;Loir-et-Cher;149094
2022;Loire;361910
2022;Loire-Atlantique;747096
2022;Loiret;330703
2022;Lot;74335
2022;Lot-et-Garonne;148437
2022;Lozère;34661
2022;Maine-et-Loire;398651
2022;Manche;225331
2022;Marne;279608
2022;Martinique;170382
2022;Mayenne;141168
2022;Mayotte;125647
2022;Meurthe-et-Moselle;368647
2022;Meuse;83840
2022;Morbihan;351534
2022;Moselle;528289
2022;Nièvre;86364
2022;Nord;1324719
2022;Oise;415734
2022;Orne;121835
2022;Paris;1237279
2022;Pas-de-Calais;710025
2022;Puy-de-Dôme;324857
2022;Pyrénées-Atlantiques;332790
2022;Pyrénées-Orientales;221291
